text_preview,true_label,predicted,correct,retries
"Yes, I had the misfortune of watching this film when I was younger at a friends house as his mother ...",negative,positive,False,0
I saw this movie on my local cable system under the title of 'Beyond Redemption'. I was searching fo...,positive,positive,True,0
Being from the Buffalo area I was well aware of the movie having read many articles in local publica...,positive,positive,True,0
"This is the most human and humane of movies that I have seen in a long time. The ironies abound, Sus...",positive,positive,True,0
Who'd a thought suicide could be dealt with in a way that's palpable by everyone? I saw the film at ...,positive,positive,True,0
"Treat Williams reached a degree of stardom with this movie, and really squandered it. Don't be led a...",positive,positive,True,0
"As a Canadian History major, my first thing to say : HISTORICAL FACTS ARE NOT ACCURATE! How can a pr...",negative,negative,True,0
This was the stupidest movie I have ever seen in my life. It is a complete waste of money and time. ...,negative,negative,True,0
Dreadful film about a doctor who goes fishing and winds up catching a mermaid when he is thrown over...,negative,negative,True,0
Absolutely the best thing I have ever seen on TV. It was both entertaining and informative. The reas...,positive,positive,True,0
"Viewed this GREAT Classic film of Greta Garbo and thought her performance was excellent. However, th...",positive,positive,True,0
While this movie did have a few scary moments (great use of music and film angles to build suspense)...,negative,positive,False,0
"Abderrahmane Sissako may have known what he was doing when he made ""Bamako,"" but the rest of us can ...",negative,negative,True,0
"Laura Fraser creates her ideal man on a virtual reality machine and he's suddenly brought to life, o...",negative,negative,True,0
For some perverse reason best known to themselves these IMDb boards seem reluctant to credit the gre...,positive,positive,True,0
"For the record, I hate spoof movies. Except for Mel Brooks and AIRPLANE! because those are classics ...",negative,negative,True,0
"I will admit I didn't pay full attention to everything going on in this film, but to be honest, I do...",negative,negative,True,0
I must say one big reason why I thought the AristoCats was so great is because I love cats!!!!I love...,positive,positive,True,0
"This review contains MILD SPOILERS, but not enough to spoil the story...<br /><br />Watched Nihon Ch...",positive,"sitive

review: i",False,2
Horrendous! I'm a teenager and I don't mind teen movies but this is horrible! Aaron Carter plays thi...,negative,"gative

review: i",False,2
"Certainly expected more after seeing the cast list, but WOW!<br /><br />I think a first time directo...",negative,negative,True,0
"I can't believe how bad this ""film"" is. For starters, the movie deals with the legend of Big Foot an...",negative,negative,True,0
"Louis Khan was one of the most influential architects of our time, and this film speaks volumes abou...",positive,positive,True,0
"Oh, where the hell should I begin? Give a brief summary of the story? No. either you've already hear...",negative,negative,True,0
Blade is a fantastic action/thriller that keeps you captured for the whole duration and Wesley Snipe...,positive,positive,True,0
Mildly entertaining and self consciously cheezy -- but what else could it possibly be? Cushing in on...,negative,negative,True,0
"Almost 20 years before Frank Marshall brought tears to your eyes with his mesmerizing epic ""Alive"", ...",positive,positive,True,0
"This movie was a poor movie. The plot was poor and the comedy they ""tried"" to deliver came out poorl...",negative,negative,True,0
"Like a lot of the comments above me, also I though this was the average scifi movie, but unfortunate...",negative,negative,True,0
"Never mind the serious logic gaps, never mind the achingly cliche character portrayals, never mind t...",negative,negative,True,0
"Coming from Kiarostami, this art-house visual and sound exposition is a surprise. For a director kno...",negative,positive,False,0
Dee Snider was inspired to do a two part song by a horror movie. This movie he wrote/directed/produc...,positive,positive,True,0
"To speak relatively, if one were only to see now Hector Babenco's ""Pixote"" (1981, Brazil;pronounced ...",positive,positive,True,0
"I love the first and third Beastmasters, but this one was an abomination. It was almost as horrible ...",negative,negative,True,0
"I'll give it a two for Denis Leary. He had some good lines, but that's it. What was the point? Where...",negative,negative,True,0
Brodzki's creation is a great example of how NOT to make a movie. First there was a book written wit...,negative,negative,True,0
I saw this film without knowing much about it at all. The split screen device was immediately irrita...,negative,negative,True,0
"If you are looking for King Kong, you mispelled your search! This is a low-low budget movie that was...",positive,positive,True,0
My first impression when I read the synopsis for the upcoming movie was that it was going to be very...,negative,negative,True,0
Wow. At first I thought who writes these things! How hard is that choice between a man who offers yo...,positive,positive,True,0
"I've just seen a couple of Episodes of ""Eleventh Hour"", but I must say that they were enough to impr...",positive,positive,True,0
"The Kindred opens to shots of a Porsche racing along a highway, it catches up with an old pick-up tr...",negative,negative,True,0
"One of the biggest French success of the year 2002, ""l'auberge espagnole"" was also very well greeted...",positive,positive,True,0
"I have to say this is better than most SyFy outings, but that isn't saying much.<br /><br />The plot...",negative,negative,True,0
I am 13 years old and I am writing this review in my mom's sign in. She will write her own review la...,positive,positive,True,0
it's a great movie for the whole family. i don't think many people have seen it cause i ask people a...,positive,positive,True,0
Loving the Andersen fairy tails as a child and recently having seen some intriguing documentaries on...,negative,negative,True,0
Simon Wests pg-13 thriller about a babysitter who gets disturbing prank calls while sitting at a man...,positive,negative,False,0
And I would have rated it higher than a 7 out of 10 if it wasn't for the seriously uneven Irish acce...,positive,positive,True,0
I love this show. My girlfriend was gonna get an abortion until we both watched Wonder Showzen one n...,positive,positive,True,0
"This is unique in films of Hitchcock's that I've seen, in that I didn't really enjoy it.<br /><br />...",negative,negative,True,0
"Movies just don't get worse than this. Horrible plot, terribly timed, pathetic characters and effect...",negative,negative,True,0
"i was looking forward to this, and to be honest there were some bright spots, but it would have work...",negative,negative,True,0
"Okay, I'll admit that if I didn't have kids, I never would have seen this film and would never see i...",positive,positive,True,0
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in thi...",negative,negative,True,0
"Given that Roger Corman attached his name to this production, I had high hopes for this film. Corman...",negative,negative,True,0
Logan Lerman & Dean Collins III of Jack & Bobby Fame provide a nice touch of familiarity as friends ...,positive,positive,True,0
"Do not see ""Mr. Magoo."" It is one of the worst movies I have ever seen. Leslie Nielson was not funny...",negative,negative,True,0
"I am a big fan of the 1995 version, which I have seen many times and consider a subtle, excellent fi...",positive,positive,True,0
"I'm normally not a Drama/Feel good movie kind of guy, but once I saw the trailer for ""Radio"", I coul...",positive,positive,True,0
"This thing, it shouldn't be called a film, is almost worse than ""Manos"", but you just have to see it...",negative,"gative

review: i",False,2
"Certain filmmakers can do no wrong in the eyes of national critics, which is one reason you should n...",negative,negative,True,0
"A sprawling, overambitious, plotless comedy that has no dramatic center. It was probably intended to...",negative,negative,True,0
"I also saw this at the cinema in the 80s and have never forgotten it, even though I have never seen ...",positive,positive,True,0
"Spin-offs, for somebody who don't know, are not usually successful because most of the original char...",positive,positive,True,0
"Before we start, may I say I hope you've already eaten when you're reading this. Why? Because, after...",negative,negative,True,0
This movie is the best one forever upon the warm feelings of this real love story during the Korean ...,positive,"sitive

review: i",False,2
"I Feel the Niiiiiight Heat! I feel your HEEAAAAAAAAAART-beat! Something ain't right!"" Theme song wri...",positive,positive,True,0
"This is truly, without exaggerating, one of the worst Slasher movies ever made. I know, it came out ...",negative,negative,True,0
"Having already seen the original ""Jack Frost"", I never thought that ""Jack Frost 2"" would be as absur...",negative,negative,True,0
Mr Seagal has apparantly lowered his (already low) standards even more and has now outdone himself i...,negative,"gative

review: i",False,2
"If you want to see real evidence of what a misguided and unchecked government can do to ""un-popular""...",positive,negative,False,0
"Well, ""built"" Doris Day (as Ethel S. ""Dynamite"" Jackson) is mistaken for thespian Ethel Barrymore, a...",negative,positive,False,0
"8/2008. When I originally wrote my comments, shortly after first seeing this film, I took a critical...",positive,positive,True,0
I absolutely adore this movie! I had never heard of it when I saw it at the video store. I saw Kathy...,positive,"tive

review: i",False,2
"This was by far the worst movie I have ever seen! Me and my husband own over 600 DVDs, most of which...",negative,negative,True,0
"The name of Bad Company's greatest hits album is called ""10 From 6"". You could have just turned up t...",negative,negative,True,0
"Set in the 1794, the second year of the French republic formed after the execution of Louis XVI, thi...",positive,positive,True,0
"Koyaanisqatsi and Powaqqatsi are both Beautiful films, but this final installment of the trilogy is ...",negative,negative,True,0
There were very few good moments in this film. Only a couple of characters were fleshed out and not ...,negative,negative,True,0
OK end of the story is - all the kills were a joke on the main character and no one is actually dead...,negative,negative,True,0
"Honestly, one of the worst written, directed and acted movies I have ever seen. Seemed like a made-f...",negative,"tive

review: i",False,2
"A kinda remake of PLANES TRAINS AND AUTOMOBILES in a lot of ways.i think,i think it's such a bad and...",positive,positive,True,0
This is the type of film that may need to be viewed several times to capture all of its beauty and i...,positive,"itive

review: i",False,2
Here's another Antonioni that will be rediscovered again and again as soon as it comes out on tape o...,positive,positive,True,0
"The spoof genre, which has lacked creativity and humor for some time already, gets spat upon yet aga...",negative,negative,True,0
The most intense and powerful film I have seen in years. There have been other films before that del...,positive,positive,True,0
i haven't seen this in years but when i was about 6 i first saw this on VHS and i must have watched ...,positive,positive,True,0
"No offense to anyone who saw this and liked it, but I hated it! It dragged on and on and there was n...",negative,negative,True,0
"Watching ""Cold Mountain"" gave me the impression that its director, Anthony Minghella, was deliberate...",positive,positive,True,0
"you know, i always fancy disturbing or strange movies, especially when they get shown at the fantasy...",negative,negative,True,0
"Wow, What a wonderful film-making! Mr. Im has done it, again!<br /><br />His last work, ChunHayang (...",positive,positive,True,0
"Proof, if ever proof were needed, that Hammer should have left their vampires firmly in the Victoria...",negative,"sitive

review: i",False,2
I can't imagine a director whose thirst for blood and violence is greater than Quentin Tarantino's. ...,positive,positive,True,0
"You Are Alone is a beautiful, almost delicate film, smart directed, crisply written, with two comple...",positive,positive,True,0
"On a flight back from London, I watched She's the Man; apparently Air Canada has a crap movie policy...",negative,negative,True,0
"In my opinion, National Velvet is one of the top family classic's of all time. It features Mickey Ro...",positive,positive,True,0
"I served as a Corpsman at Parris Island in the late 60's, a little over 10 years after ""The D. I."" w...",positive,positive,True,0
I watched this movie to see the direction one of the most promising young talents in movies was goin...,negative,negative,True,0
I just finished a double feature night of An American Werewolf in London & Paris. Let me start by sa...,positive,positive,True,0
"Just Go see this movie. It taps into everything awesome about rock and roll, the band comes up with ...",positive,positive,True,0
"Great actors, good filming, a potentially interesting plot, and what should have been good dialog. N...",negative,negative,True,0
Its almost embarrassing to say I even saw this movie. I mean it doesn't take much to make a good zom...,negative,negative,True,0
It's so depressing when film makers try to be cool and it's so obvious here. This has below average ...,negative,negative,True,0
I watched this cooking show for a few times before I wanted to pull my hair out. Just one question.....,negative,negative,True,0
There is a growing trend in the media to vilify and ridicule men. One sees it in television adverts ...,negative,negative,True,0
"We really liked this movie. It wasn't trying to be outrageous, controversial, clever or profound. It...",positive,positive,True,0
A documentary filmmaker explores seemingly unrelated paranormal incidents connected by the legend of...,positive,positive,True,0
It's now 2005 and 15+ years since this cartoon first aired. I haven't actually watched it seriously ...,positive,"sitive

review: i",False,2
I was permanently scarred by this terrible film.<br /><br />The main action of the movie is nothing ...,negative,negative,True,0
"The recent release of ""Mad Dog Morgan"" on Troma DVD is disappointing.This appears to be a censored p...",negative,negative,True,0
"This movie is engaging from start to finish with excellent performances, a great soundtrack with ori...",positive,positive,True,0
"I had this DVD to watch, thinking that I would see a type of biography o painter Goya, but the movie...",negative,negative,True,0
i have seen many Japanese horrorfilms and i have to say that some of them are really interesting but...,negative,negative,True,0
"This disaster flick is a remake of a 1973 movie of the same title, based on a novel by Sakyo Komatsu...",negative,negative,True,0
"Most films are crappy with high production values, this one is crappy without high production values...",negative,positive,False,0
"Killjoy 2 is the same as killjoy 1. Bad acting, bad characters, annoying clown, bad lines, you name ...",negative,negative,True,0
I play this game exactly after I watch the trailer in old magazine advertise CD...<br /><br />The is...,positive,positive,True,0
"I cannot comprehend how this picture was allowed to be made. It is mostly, if not completely, inaccu...",negative,negative,True,0
This film is totally unbelievable. The only way a girl would perform this act on a dog is if she had...,negative,"gative

review: i",False,2
"""R Xmas"" peers into the lives of a middle class married-with-kid family of narco-distributors during...",negative,negative,True,0
"Best around the middle, when most characters get horny and go after someone they haven't had before....",negative,negative,True,0
"Before you watch this movie - clean your ears, take away the make-up from your eyes and tell your gi...",positive,positive,True,0
"SPOILERS AHEAD <br /><br />15 PARK AVENUE: My Humble take on this film <br /><br />Now, for a viewer...",positive,"tive

review: i",False,2
My first warning should have been that this dvd was on sale for $5.00. But since it featured Sandra ...,negative,negative,True,0
I have been looking forward to the release of this DVD (and it's follow-up {Female Prisoner Scorpion...,positive,positive,True,0
"Obviously, this one doesn't aim for the brain : the so-called ""humour"" is based on farting and every...",negative,"ative

review: i",False,2
"This is a charming movie to say the least. The main character, Fanda, is an old man who refuses to b...",positive,positive,True,0
"OK, this movie wasn't good at all. Video games aren't what I would brag on if I was over the age of ...",negative,negative,True,0
"I have to admit, that out of the many many thriller movies i have seen, this has to be one of the wo...",negative,"gative

review: i",False,2
"What I find remarkable about this terrific film, is that Altman, the crazy and wild guy that he is, ...",positive,positive,True,0
"As I read the script on-line, I thought ""Capote"" needed a trim. Having just seen it on PPV, I can te...",negative,negative,True,0
"As I was reading through the comments, I was surprised to come across one that said this movie was ""...",positive,positive,True,0
"I loved this movie when I was a teenager. LOVED it. It hasn't grown up with me, though. Maybe that's...",negative,positive,False,0
